CUSTOMER_TYPE_CD,OWNER_CLASS_CD,OWNER_SUB_CLASS_CD,GENDER_CD,OCCUPATION_CD,EDUCATION_CD,ETHNIC_ROLLUP_CD,LANGUAGE_SPOKEN_CD,ORIGIN_COUNTRY_CD,PERSONICX_CLUSTER_CD,PERSONICX_DIGITAL_CD,PERSONICX_HISPANIC_CLUSTER_CD,AGE,RELIGION_CD,ETHNIC_CD,LAST_PURCHASE_DATE,IS_COMM_SUPPRESSED,IS_ACX_DECEASED,IS_SSA_DECEASED,IS_PRISON,IS_HOMEOWNER,IS_MAIL_BUYER,IS_MAIL_RESPONDER,IS_REA,IS_MILITARY_PERSONNEL,IS_DELETED,BRAND_CD,VEHICLE_TYPE_CD,PREOWNED_TYPE_CD,TELEMATICS_ROLE_CD,INITIAL_SOURCE_ID,PAYMENT_TYPE_CD,HCA_CONTRACT_MATURITY_DATE,INSURANCE_PRODUCT,REGISTRATION_CONFIRM_CD,DISPOSAL_CD,SERVICE_ASSIGNED_DEALER_CD,SELLING_DEALER_CD,LAST_SERVICE_DEALER_CD,ACTIVE_SERVICE_EFF_DATE,IS_CURRENTLY_OWNED,IS_OWNER_ROLE,IS_DRIVER_ROLE,IS_SERVICER_ROLE,IS_HCA_CONTRACT,IS_ACTIVE_SERVICE_CUSTOMER,IS_NAME_SPLIT_OWNER,MODEL_YEAR,MODEL_SHORT_NAME,SERIES_NAME,DOOR_NAME,TRIM_NAME,TRANSMISSION_NAME,DRIVETRAIN_NAME,ENGINE_TYPE_NAME,EMISSION_CD,EMISSION_NAME,REMOTE_START_PARKING_ASSIST_CD,NEAR_FIELD_COMMUNICATION_FLG,COLOR_CD,INTERIOR_COLOR_CD,EXTERIOR_COLOR_CD,SPEC_NATION_CD,ACCESSORY_GROUP_CD,INTERIOR_COLOR_NAME,EXTERIOR_COLOR_NAME,EXTERIOR_COLOR_SHORT_NAME,INTERIOR_COLOR_SHORT_NAME,MANUF_INTERIOR_COLOR_CD,MANUF_EXTERIOR_COLOR_CD,GENERIC_COLOR_NAME,DETAIL_COLOR_NAME,SEAT_COLOR_NAME,VIN_WORLD_MANUF_CD,VIN_SERIES_CD,VIN_BODY_STYLE_CD,VIN_TRIM_LEVEL_CD,VIN_RESTRAINT_SYSTEM_CD,VIN_ENGINE_SIZE_CD,VIN_CHECK_DIGIT_NUM,VIN_MODEL_YEAR,VIN_MANUF_PLANT_CD,VIN_SERIAL_NUM,TELEMATICS_GEN_CD,CURRENT_BRANDED_CD,CITY_MPG_RATING,HIWY_MPG_RATING,EPA_EST_CITY_FROM_MPG_RATING,EPA_EST_CITY_TO_MPG_RATING,EPA_EST_HIWY_FROM_MPG_RATING,EPA_EST_HIWY_TO_MPG_RATING,EPA_EST_AVERAGE_MPG_RATING,HEAD_UNIT_TYPE_CD,ATX_PROVIDED_MEID,PROVISIONED_DATE,PROVISIONED_STATUS_CD,DESTINATION_MARKET_CD,SERVER_STATUS_CD,GENERATION_TYPE_CD,NADID,LKAS_LDWS_DIAGNOSIS_CD,FATC_AVAILABLE_CD,DEVICE_MODEL_TYPE_CD,CAR_TYPE1_CD,CAR_TYPE2_CD,CAR_TYPE3_CD,TIRE_MOBILE_KIT_FLG,OWNER_SUCCESSION_NUM,IS_METALLIC,IS_SMART_KEY,IS_EPB,IS_SCC,IS_ECS,IS_AUTO_PARK_SUPP_SYSTEM,IS_BLUELINK_AVAILABLE,MODEL_PLANT_CD,MODEL_SERIES_CD,MODEL_FAMILY_CD,MODEL_DOOR_CD,MODEL_TRIM_CD,MODEL_TRANSMISSION_CD,MODEL_DRIVETRAIN_CD,MODEL_ENGINE_TYPE_CD,MODEL_EMISSION_CD,MODEL_PRICE_CD,MODEL_GROUP_CD,ENGINE_LITRE_SPEC_NAME,ENGINE_SIZE_CC_NAME,CYLINDER_NUM,GROSS_WEIGHT,VEHICLE_SHIPPING_WEIGHT,HORSEPOWER,SERIES_DESC,SERIES_SHORT_DESC,DOOR_DESC,TRIM_DESC,TRANS_DESC,MODEL_SHORT_DESC,MODEL_GROUP_DESC,VEHICLE_TYPE_DESC,HIGHWAY_MPG_RATING,EPA_EST_HWY_FROM_MPG_RATING,EPA_EST_HWY_TO_MPG_RATING,EPA_EST_AVG_MPG_RATING,New_purchase_date,New_Disposal_date,vehicle_class,Purchase_year,Disposal_year,pos_of_vars,hynd_gla,flag,HYUNDAI,GLA,customer_type,upgrd_customer_class,second_customer_class,PREFIX,FIRST_NAME,MIDDLE_NAME,LAST_NAME,SUFFIX,EMAIL_ADDRESS,ADDRESS_1,ADDRESS_2,STATE,LATITUDE,PERSONICX_LEVEL_CD,PREFERRED_CHANNEL_CD,REFINE_PREMIER_CD,REFINE_RECORD_TYPE_CD,BUYING_CHANNEL_INTERNET_SCORE,BUYING_CHANNEL_MAIL_SCORE,MEDIA_CHANNEL_CELL_PHONE_SCORE,MEDIA_CHANNEL_DAYTIME_TV_SCORE,MEDIA_CHANNEL_INTERNET_SCORE,HEAVY_TWITTER_USAGE_SCORE,MOBILE_SOCIAL_NETWORKER_SCORE,HEAVY_FACEBOOK_USAGE_SCORE,LIKELY_POST_RESPONDER_SCORE,DSF_CD,IS_DECEASED,IS_DATA_WARNING,IS_NO_MAIL_SUPPRESS,IS_EMAIL_OPT_OUT,IS_PHONE_OPT_OUT,IS_FTC_DNC,IS_SAG_DNC,IS_SAG_DMA_DNC,IS_WIRELESS,IS_ADDRESS_OPT_OUT,IS_EMAIL_SUBSCRIBED,IS_POSTAL_SUBSCRIBED,IS_TEXT_SUBSCRIBED,IS_PHONE_SUBSCRIBED,IS_CATEGORY_OWNERS,IS_CATEGORY_PRODUCTS,IS_CATEGORY_SPECIAL_EVENT,IS_CATEGORY_NEWS,IS_CATEGORY_SURVEYS,IS_CATEGORY_UNSUBSCRIBED,HOUSEHOLD_OWNER_CLASS_CD,HOUSEHOLD_PERSONICX_CLUST_CD,HOUSEHOLD_PERSONICX_DIGITAL_CD,PERSONICX_CATEGORY_CD,AGE_RANGE_DESC,MARITAL_STATUS_DESC,HOME_OWNERSHIP_DESC,POPULATION_DENSITY_DESC,INCOME_CATEGORY_DESC,SURECRITIC_Max_Score,SURECRITIC_Avg_Score,SURECRITIC_count_score,ENPRECIS_Min_Score,ENPRECIS_Max_Score,ENPRECIS_Avg_Score,ENPRECIS_count_score
I,OWNER,MULTI,,,,Z,1,0,,,,,X,0,,0,0,0,0,0,0,0,0,,0,H,PRE-OWNED,OTHER PRE-OWNED,,105,,,,K,,,,,,1,1,0,0,0,0,0,1992,4DR SNTA A,SONATA 4DR SEDAN,SEDAN,BASE,AUTO,FRONT WHEEL DRIVE,4-CYL.,N,THIS VEHICLE IS CERTIFIED TO MEET EMISSION REQUIREMENTS IN ALL 50 STATES,,,EBAQ,AQ,EB,B28AB,51,DARK GRAY,EBONY BLACK,BLACK,DARK GRAY,AQ,EB,BLACK,0,DARK GRAY,2HM,B,F,2,2,F,0,N,B,56478,,,20,27,17,23,22,32,23,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,U,2,1,4,2,2,F,4,5,X,2001,1992 SONATA 2.0 LITER,,4,3870,2930,128,SONATA 4DR SEDAN,SONATA,SEDAN,BASE,AUTO,4DR SNTA A,SONATA,GAS OR HYBRID,27,22,32,23,03-Jun-19,,HYUNDAI,2019,,1,HYUNDAI,1,,,OTH,0,0,,#,,#,,,,,,,,,,C,,,,,,,,,,,0,0,0,,,,,,,,1,1,0,1,1,1,1,1,1,0,OWNER,,,,,,,,,,,,,,,
I,OWNER,FIRST_TIME,F,,1,A,1,0,23,371,,64,P,D3,,0,0,1,0,1,0,0,0,1,0,H,PRE-OWNED,OTHER PRE-OWNED,,105,,,,K,,,,,,1,1,0,0,0,0,0,1993,4DR  SNTA A,SONATA 4DR SEDAN,SEDAN,BASE,AUTO,FRONT WHEEL DRIVE,4-CYL.,N,THIS VEHICLE IS CERTIFIED TO MEET EMISSION REQUIREMENTS IN ALL 50 STATES,,,KFFD,FD,KF,B28AB,3,BEIGE,TROPICAL GREEN,GREEN,BEIGE,FD,KF,GREEN,0,BEIGE,2HM,B,F,2,2,F,0,P,B,85255,,,20,27,17,23,22,32,23,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,U,2,1,4,2,2,F,4,5,X,2001,1993 SONATA 2.0 LITER,,4,3948,2858,128,SONATA 4DR SEDAN,SONATA,SEDAN,BASE,AUTO,4DR  SNTA A,SONATA,GAS OR HYBRID,27,22,32,23,04-Jun-19,,HYUNDAI,2019,,1,HYUNDAI,1,,,OTH,0,0,,#,,#,,,#,#,TN,,3,,F,C,,,,,,,,,,1,0,0,0,,,,,,,0,1,1,0,1,0,0,0,0,0,1,OWNER,23,371,,56 - 65,MARRIED,OWNER,SUBURBS AND TOWNS,UPPER MIDDLE,,,,,,,
I,PREVIOUS OWNER,,M,8,2,A,1,0,9,461,,72,P,85,,0,0,0,0,1,1,1,0,1,0,H,PRE-OWNED,OTHER PRE-OWNED,,105,,,,,H,,,,,0,1,0,0,0,0,0,1992,4DR SNTA A,SONATA 4DR SEDAN,SEDAN,BASE,AUTO,FRONT WHEEL DRIVE,4-CYL.,N,THIS VEHICLE IS CERTIFIED TO MEET EMISSION REQUIREMENTS IN ALL 50 STATES,,,WKEH,EH,WK,B28AB,63,CABERNET,LIGHT CABERNET MET,RED,CABERNET,EH,WK,RED,0,CABERNET,2HM,B,F,2,2,F,1,N,B,61267,,,20,27,17,23,22,32,23,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,U,2,1,4,2,2,F,4,5,X,2001,1992 SONATA 2.0 LITER,,4,3870,2930,128,SONATA 4DR SEDAN,SONATA,SEDAN,BASE,AUTO,4DR SNTA A,SONATA,GAS OR HYBRID,27,22,32,23,03-Jun-19,09-Feb-10,HYUNDAI,2019,2010,1,HYUNDAI,1,,,OTH,0,0,,#,,#,,#,#,#,AL,33.415516,3,,M,C,,,,,,,,,,1,0,0,0,0,,,,,,0,1,1,0,1,1,1,1,1,1,0,PREVIOUS OWNER,9,461,,OVER 66,SINGLE / MARRIED,OWNER,CITY AND SURROUNDS,UPPER MIDDLE,,,,,,,
I,OWNER,FIRST_TIME,M,,2,K,1,0,9,331,,36,C,15,,0,0,0,0,1,1,1,0,,0,H,PRE-OWNED,OTHER PRE-OWNED,,105,,,,K,,,,,,1,1,0,0,0,0,0,1992,4DR SNTA A,SONATA 4DR SEDAN,SEDAN,BASE,AUTO,FRONT WHEEL DRIVE,4-CYL.,N,THIS VEHICLE IS CERTIFIED TO MEET EMISSION REQUIREMENTS IN ALL 50 STATES,,,RSEH,EH,RS,B28AB,51,CABERNET,WINE RED PEARL,RED,CABERNET,EH,RS,RED,0,CABERNET,2HM,B,F,2,2,F,3,N,B,69970,,G,20,27,17,23,22,32,23,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,U,2,1,4,2,2,F,4,5,X,2001,1992 SONATA 2.0 LITER,,4,3870,2930,128,SONATA 4DR SEDAN,SONATA,SEDAN,BASE,AUTO,4DR SNTA A,SONATA,GAS OR HYBRID,27,22,32,23,03-Jun-19,,HYUNDAI,2019,,1,HYUNDAI,1,,,OTH,0,0,,#,,#,,#,#,#,WY,,3,,M,C,,,,,,,,,,,0,0,0,0,,,,,,0,1,1,0,1,1,1,1,1,1,0,OWNER,9,331,,OVER 66,SINGLE / MARRIED,OWNER,CITY AND SURROUNDS,UPPER MIDDLE,,,,,,,
I,OWNER,FIRST_TIME,M,3,2,A,1,0,43,331,,34,P,S1,,0,0,0,0,1,0,0,0,,0,H,PRE-OWNED,OTHER PRE-OWNED,,107,,,,K,,,,,,1,1,0,0,0,0,0,1993,4DR  SNTA A,SONATA 4DR SEDAN,SEDAN,BASE,AUTO,FRONT WHEEL DRIVE,4-CYL.,N,THIS VEHICLE IS CERTIFIED TO MEET EMISSION REQUIREMENTS IN ALL 50 STATES,,,NWEH,EH,NW,B28AB,2,CABERNET,NOBLE WHITE,WHITE,CABERNET,EH,NW,WHITE,0,CABERNET,2HM,B,F,2,2,F,4,P,B,84416,,,20,27,17,23,22,32,23,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,U,2,1,4,2,2,F,4,5,X,2001,1993 SONATA 2.0 LITER,,4,3948,2858,128,SONATA 4DR SEDAN,SONATA,SEDAN,BASE,AUTO,4DR  SNTA A,SONATA,GAS OR HYBRID,27,22,32,23,13-Oct-15,,HYUNDAI,2015,,1,HYUNDAI,1,,,OTH,0,0,,#,,#,,#,#,#,OH,41.460673,3,,M,C,,,,,,,,,,1,0,0,0,0,,,,,,0,1,1,0,0,0,0,0,0,0,1,OWNER,43,331,,46 - 55,SINGLE,OWNER,CITY AND SURROUNDS,LOW MIDDLE,,,,,,,
I,OWNER,FIRST_TIME,F,2,1,K,1,0,45,231,,58,P,1,,0,0,0,0,0,0,0,0,,0,H,PRE-OWNED,OTHER PRE-OWNED,,107,,,,K,,,,,,1,1,0,0,0,0,0,1992,4DR SNTA 5SP,SONATA 4DR SEDAN,SEDAN,BASE,MANUAL,FRONT WHEEL DRIVE,4-CYL.,N,THIS VEHICLE IS CERTIFIED TO MEET EMISSION REQUIREMENTS IN ALL 50 STATES,,,EBAQ,AQ,EB,B28AB,51,DARK GRAY,EBONY BLACK,BLACK,DARK GRAY,AQ,EB,BLACK,0,DARK GRAY,2HM,B,F,2,2,F,7,N,B,59037,,H,20,27,17,23,22,32,22,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,U,2,1,4,2,3,F,4,5,X,2001,1992 SONATA 2.0 LITER,,4,3826,2886,128,SONATA 4DR SEDAN,SONATA,SEDAN,BASE,MANUAL,4DR SNTA 5SP,SONATA,GAS OR HYBRID,27,22,32,22,03-Aug-16,,HYUNDAI,2016,,1,HYUNDAI,1,,,OTH,0,0,,#,,#,,#,#,#,WA,48.118989,3,,F,C,,,,,,,,,,1,0,0,0,0,,,,,,0,1,0,0,0,0,0,0,0,0,1,OWNER,45,231,,24 - 29,SINGLE / MARRIED,RENTER,CITY AND SURROUNDS,LOW MIDDLE,,,,,,,
I,OWNER,FIRST_TIME,,,,K,1,0,,,,,P,10,,0,0,0,0,0,0,0,0,,0,H,PRE-OWNED,OTHER PRE-OWNED,,107,,,,K,,,,,,1,1,0,0,0,0,0,1993,4DR  SNTA A,SONATA 4DR SEDAN,SEDAN,BASE,AUTO,FRONT WHEEL DRIVE,4-CYL.,N,THIS VEHICLE IS CERTIFIED TO MEET EMISSION REQUIREMENTS IN ALL 50 STATES,,,KFFD,FD,KF,B28AB,3,BEIGE,TROPICAL GREEN,GREEN,BEIGE,FD,KF,GREEN,0,BEIGE,2HM,B,F,2,2,F,7,P,B,90484,,,20,27,17,23,22,32,23,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,U,2,1,4,2,2,F,4,5,X,2001,1993 SONATA 2.0 LITER,,4,3948,2858,128,SONATA 4DR SEDAN,SONATA,SEDAN,BASE,AUTO,4DR  SNTA A,SONATA,GAS OR HYBRID,27,22,32,23,12-Mar-14,,HYUNDAI,2014,,1,HYUNDAI,1,,,OTH,0,0,,#,,#,,#,,,,,,,,C,,,,,,,,,,,0,0,0,0,0,0,0,0,1,,0,0,0,0,0,0,0,0,0,1,OWNER,,,,,,,,,,,,,,,
I,OWNER,FIRST_TIME,M,1,3,A,1,0,68,221,,56,P,85,,0,0,0,0,1,1,1,0,,0,H,PRE-OWNED,OTHER PRE-OWNED,,105,,,,K,,,,,,1,1,0,0,0,0,0,1992,4DR SNTA A,SONATA 4DR SEDAN,SEDAN,BASE,AUTO,FRONT WHEEL DRIVE,4-CYL.,N,THIS VEHICLE IS CERTIFIED TO MEET EMISSION REQUIREMENTS IN ALL 50 STATES,,,EBAQ,AQ,EB,B28AB,65,DARK GRAY,EBONY BLACK,BLACK,DARK GRAY,AQ,EB,BLACK,0,DARK GRAY,2HM,B,F,2,2,F,8,N,B,76929,,,20,27,17,23,22,32,23,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,U,2,1,4,2,2,F,4,5,X,2001,1992 SONATA 2.0 LITER,,4,3870,2930,128,SONATA 4DR SEDAN,SONATA,SEDAN,BASE,AUTO,4DR SNTA A,SONATA,GAS OR HYBRID,27,22,32,23,03-Jun-19,,HYUNDAI,2019,,1,HYUNDAI,1,,,OTH,0,0,,#,,#,,#,#,#,VA,,3,,M,C,,,,,,,,,,1,0,0,0,0,,,,,,0,1,1,0,1,1,1,1,1,1,0,OWNER,68,221,,46 - 65,SINGLE,OWNER,DOWNTOWN METRO,LOWEST,,,,,,,
I,OWNER,MULTI,,,,G,1,0,14,,,,P,5,,0,0,0,0,0,0,0,0,1,0,H,PRE-OWNED,OTHER PRE-OWNED,,105,,,,K,,,,,,1,1,0,0,0,0,0,1992,4DR SNTA A,SONATA 4DR SEDAN,SEDAN,BASE,AUTO,FRONT WHEEL DRIVE,4-CYL.,N,THIS VEHICLE IS CERTIFIED TO MEET EMISSION REQUIREMENTS IN ALL 50 STATES,,,NWAQ,AQ,NW,B28AB,51,DARK GRAY,NOBLE WHITE,WHITE,DARK GRAY,AQ,NW,WHITE,0,DARK GRAY,2HM,B,F,2,2,F,X,N,B,56777,,,20,27,17,23,22,32,23,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,U,2,1,4,2,2,F,4,5,X,2001,1992 SONATA 2.0 LITER,,4,3870,2930,128,SONATA 4DR SEDAN,SONATA,SEDAN,BASE,AUTO,4DR SNTA A,SONATA,GAS OR HYBRID,27,22,32,23,29-Dec-19,,HYUNDAI,2019,,2,HYUNDAI,1,,,OTH,0,0,,#,,#,,#,#,#,CA,33.701601,G,,,C,,,,,,,,,,1,0,0,0,0,,,,,,0,1,1,0,0,1,1,1,1,0,0,OWNER,14,,,46 - 65,SINGLE,OWNER,CITY AND SURROUNDS,AFFLUENT,,,,,,,
I,OWNER,FIRST_TIME,M,8,1,A,1,0,64,441,,60,P,E1,,0,0,0,0,0,0,0,0,,0,H,PRE-OWNED,OTHER PRE-OWNED,,105,,,,K,,,,,,1,1,0,0,0,0,0,1990,4DR SNTA A,SONATA 4DR SEDAN,SEDAN,BASE,AUTO,FRONT WHEEL DRIVE,4-CYL.,N,THIS VEHICLE IS CERTIFIED TO MEET EMISSION REQUIREMENTS IN ALL 50 STATES,,,TGAU,AU,TG,B28AB,16,GRAY,DEEP RED PEARL,RED,GRAY,AU,TG,RED,0,GRAY,2HM,B,F,2,2,S,1,L,B,22317,,,21,26,17,25,21,29,22,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,U,2,1,4,2,2,F,4,5,X,2001,1990 SONATA 2.4 LITER,,4,3900,2739,116,SONATA 4DR SEDAN,SONATA,SEDAN,BASE,AUTO,4DR SNTA A,SONATA,GAS OR HYBRID,26,21,29,22,04-Jun-19,,HYUNDAI,2019,,1,HYUNDAI,1,,,OTH,0,0,,#,#,#,,#,#,#,NC,36.290029,3,,M,C,,,,,,,,,,1,0,0,0,0,,,,,,0,1,1,0,0,1,1,1,1,1,0,OWNER,64,441,,OVER 66,SINGLE,OWNER / RENTER,RURAL,LOW,,,,,,,
